,0.001,0.003,0.01,0.03,0.1,0.3,1,3,10,30,100,300
"7,000",3.46E-06,1.04E-05,3.46E-05,1.04E-04,3.46E-04,1.04E-03,3.46E-03,1.04E-02,3.46E-02,1.04E-01,3.46E-01,1.04E+00
"7,300",3.32E-06,9.97E-06,3.32E-05,9.97E-05,3.32E-04,9.97E-04,3.32E-03,9.97E-03,3.32E-02,9.97E-02,3.32E-01,9.97E-01
"7,600",3.19E-06,9.57E-06,3.19E-05,9.57E-05,3.19E-04,9.57E-04,3.19E-03,9.57E-03,3.19E-02,9.57E-02,3.19E-01,9.57E-01
"8,000",3.03E-06,9.09E-06,3.03E-05,9.09E-05,3.03E-04,9.09E-04,3.03E-03,9.09E-03,3.03E-02,9.09E-02,3.03E-01,9.09E-01
"8,300",2.92E-06,8.76E-06,2.92E-05,8.76E-05,2.92E-04,8.76E-04,2.92E-03,8.76E-03,2.92E-02,8.76E-02,2.92E-01,8.76E-01
"8,600",2.82E-06,8.46E-06,2.82E-05,8.46E-05,2.82E-04,8.46E-04,2.82E-03,8.46E-03,2.82E-02,8.46E-02,2.82E-01,8.46E-01
"9,000",2.69E-06,8.08E-06,2.69E-05,8.08E-05,2.69E-04,8.08E-04,2.69E-03,8.08E-03,2.69E-02,8.08E-02,2.69E-01,8.08E-01
"9,300",2.61E-06,7.82E-06,2.61E-05,7.82E-05,2.61E-04,7.82E-04,2.61E-03,7.82E-03,2.61E-02,7.82E-02,2.61E-01,7.82E-01
"9,600",2.53E-06,7.58E-06,2.53E-05,7.58E-05,2.53E-04,7.58E-04,2.53E-03,7.58E-03,2.53E-02,7.58E-02,2.53E-01,7.58E-01
"10,000",2.42E-06,7.27E-06,2.42E-05,7.27E-05,2.42E-04,7.27E-04,2.42E-03,7.27E-03,2.42E-02,7.27E-02,2.42E-01,7.27E-01
