131,1395090,1394080,1391070,1386060,1381110,1371430,1356980,1338940,1321500,1305690
132,1403090,1402090,1399100,1394140,1389250,1379640,1365300,1347410,1330160,1314510
133,1411110,1410120,1407160,1402250,1397410,1387870,1373650,1355910,1338840,1323340
134,1419170,1418180,1415250,1410380,1405590,1396130,1382020,1364420,1347540,1332190
135,1427250,1426270,1423360,1418540,1413800,1404410,1390420,1372960,1356250,1341050
136,1435360,1434390,1431510,1426730,1422030,1412710,1398850,1381520,1364990,1349920
137,1443490,1442530,1439670,1434940,1430280,1421040,1407300,1390110,1373740,1358800
138,1451650,1450700,1447870,1443180,1438560,1429400,1415780,1398720,1382520,1367690
139,1459840,1458900,1456090,1451440,1446870,1437780,1424290,1407350,1391310,1376600
140,1468060,1467120,1464340,1459720,1455190,1446180,1432820,1416000,1400120,1385530
141,1476300,1475370,1472610,1468040,1463540,1454610,1441370,1424680,1408950,1394460
142,1484560,1483640,1480910,1476370,1471920,1463060,1449960,1433380,1417810,1403420
143,1492850,1491940,1489230,1484740,1480320,1471540,1458560,1442100,1426680,1412380
144,1501170,1500260,1497580,1493120,1488740,1480030,1467190,1450850,1435570,1421370
145,1509510,1508610,1505950,1501530,1497180,1488560,1475850,1459620,1444480,1430370
146,1517880,1516990,1514350,1509970,1505650,1497100,1484530,1468410,1453420,1439390
147,1526270,1525390,1522770,1518420,1514140,1505670,1493230,1477230,1462370,1448420
148,1534690,1533810,1531220,1526910,1522650,1514260,1501950,1486060,1471340,1457470
149,1543130,1542260,1539690,1535410,1531190,1522870,1510690,1494920,1480330,1466540
150,1551590,1550730,1548180,1543940,1539750,1531500,1519460,1503800,1489340,1475630
151,1560080,1559220,1556690,1552490,1548330,1540150,1528210,1512670,1498350,1484750
152,1568590,1567740,1565230,1561060,1556940,1548820,1536990,1521560,1507380,1493890
153,1577120,1576280,1573790,1569660,1565560,1557510,1545780,1530470,1516430,1503050
154,1585680,1584850,1582380,1578270,1574210,1566230,1554600,1539400,1525490,1512230
155,1594260,1593430,1590980,1586910,1582890,1574960,1563430,1548350,1534580,1521430
156,1602860,1602040,1599610,1595570,1591580,1583710,1572280,1557320,1543680,1530640
157,1611490,1610670,1608260,1604260,1600300,1592490,1581160,1566310,1552800,1539870
158,1620130,1619330,1616930,1612960,1609030,1601280,1590050,1575320,1561930,1549120
159,1628800,1628000,1625630,1621690,1617790,1610100,1598960,1584360,1571090,1558390
160,1637490,1636700,1634340,1630440,1626570,1618940,1607880,1593410,1580260,1567670
200,2000750,2000170,1998420,1995550,1992720,1987090,1978810,1970030,1958450,1949100
